Power [kW],P_rel[%],Efficiency,Efficiency[%]
0.133057553,0.266115106,0.036606158,2.01
0.155609681,0.311219361,0.020104184,3.6
0.268370319,0.536740638,0.053485384,5.35
0.719412871,1.438825743,0.158963887,15.9
0.775793191,1.551586381,0.098540846,19.85
0.944934148,1.889868296,0.234790209,23.48
1.114075105,2.22815021,0.266720214,26.67
1.3959767,2.791953401,0.300681827,30.07
1.790638934,3.581277868,0.395010283,39.5
2.01616021,4.032320421,0.430961528,43.1
2.241681487,4.483362973,0.46286541,46.29
2.523583082,5.047166164,0.492646648,49.26
2.861864997,5.723729993,0.521163486,52.12
3.369287868,6.738575736,0.552411043,55.24
4.214992654,8.429985309,0.58170937,58.17
4.947936802,9.895873605,0.597226702,59.72
7.297116764,14.59423353,0.607491788,60.75
8.299433548,16.5988671,0.606774034,60.68
10.41682775,20.83365551,0.605886192,60.59
11.26253254,22.52506508,0.602338716,60.23
13.01032243,26.02064486,0.600132297,60.01
14.61152349,29.22304699,0.600427914,60.04
15.60381711,31.20763422,0.600241785,60.02
19.60681976,39.21363953,0.589009754,58.9
21.58013093,43.16026186,0.580179533,58.02
22.76411763,45.52823526,0.57717197,57.72
24.27229117,48.54458233,0.572960256,57.3
25.60192703,51.20385405,0.570767853,57.08
26.86377226,53.72754452,0.567817044,56.78
28.1484381,56.29687621,0.565998253,56.6
29.36061496,58.72122993,0.564961147,56.5
30.61225805,61.2245161,0.562339929,56.23
31.81315884,63.62631769,0.560167427,56.02
33.19447666,66.38895332,0.557660511,55.77
34.57579448,69.15158896,0.55486857,55.49
35.90073198,71.80146396,0.55155602,55.16
37.141099,74.28219799,0.548395368,54.84
38.38146602,76.76293203,0.54492378,54.49
39.66693729,79.33387458,0.543112426,54.31
40.90730431,81.81460862,0.541340626,54.13
42.17774084,84.35548167,0.539798116,53.98
43.38521934,86.77043867,0.53671381,53.67
44.59940978,89.19881956,0.533874095,53.39
46.00690417,92.01380835,0.531551515,53.16
47.21438267,94.42876535,0.529116434,52.91
48.40463385,96.80926771,0.527266511,52.73
49.2628676,98.5257352,0.523565741,52.36
